Nom du projet;Nom du produit;X;Y;Position
;Surligneur;19;46;1946
;Taille-crayon;19;45;1945
;Timbres;19;44;1944
;Trombones;19;42;1942
;Pâtées;25;27;2527
;Croquettes;24;27;2427
;Foins;24;25;2425
;Graines;25;25;2525
;Litière;23;25;2325
;Pâtées;23;27;2327
;Barres chocolatées;5;41;541
;Biscottes;5;42;542
;Biscuite;5;43;543
;Brioche;31;41;3141
;Cacao;5;45;545
;Café en grains;5;46;546
;Café soluble;5;44;544
;Café soluble;5;47;547
;Céréales;8;41;841
;Confiture;31;42;3142
;Confiture;8;42;842
;Crêpes;31;43;3143
;Croissants;31;44;3144
;Gaufres;31;45;3145
;Madeleines;8;43;843
;Muffins;31;46;3146
;Miel;8;44;844
;Pain au chocolat;31;47;3147
;Pain d'épice;8;18;818
;Pancakes;14;17;1417
;Pâte à tartiner;16;17;1617
;Thé;7;12;712
;Tisane;10;12;1012
;Quatre quart;31;47;3147
;Gingembre confit;9;23;923
;Figues sèches;16;26;1626
;Pignons;27;31;2731
;Sucre vanillé;11;35;1135
;Céréales;15;29;1529
;Céréales;10;32;1032
;Chicorée;8;35;835
;Dosettes de café;15;35;1535
;Miel;14;35;1435
;Pain au chocolat;13;36;1336
;Gaufres;33;30;3330
;Pâte à tartiner;33;34;3334
;Tisane;33;39;3339
;Fruits secs;34;23;3423
;Olives;34;24;3424
;Tarama;34;28;3428
;Tzatziki;34;21;3421
;Olives;21;21;2121
;Tzatziki;26;21;2621
;Sirop;17;44;1744
;Vin;25;28;2528
;Soda;28;28;2828
;Bière;27;28;2728
;Alcools fort;22;28;2228
;Jus de fruits;26;28;2628
;Encre Imprimante;14;32;1432
;Étiquettes;12;50;1250
;Papier imprimante;6;50;650
;Timbres;22;50;2250
;Trombones;3;8;38
;Taille-crayon;9;13;913
;Taille-crayon;4;10;410
;Calculatrice;15;1;151
;Fromage blanc;25;7;257
;Mascarpone;29;21;2921
;Œufs;33;9;339
;Riz au lait;33;44;3344
;Riz au lait;17;50;1750
;Yaourts;26;35;2635
;Essuie lunette;30;35;3035
;Film plastique;20;35;2035
;Essuie lunette;20;32;2032
;Gants de ménage;9;25;925
;Nettoyant Four;9;30;930
;Nettoyant Four;15;23;1523
